,N,d,algorithm,memory,time
163,100,7,efficient_non_dominated_sort,121.3671875,0.0006227493286132812
164,100,7,fast_non_dominated_sort,121.3671875,0.00074005126953125
165,100,7,nmoo,121.3671875,0.005227327346801758
166,100,7,efficient_non_dominated_sort,121.37109375,0.0006773471832275391
167,100,7,fast_non_dominated_sort,121.37109375,0.0009007453918457031
168,100,7,nmoo,121.37109375,0.005269765853881836
169,100,7,efficient_non_dominated_sort,121.37109375,0.0006208419799804688
170,100,7,fast_non_dominated_sort,121.375,0.0007550716400146484
171,100,7,nmoo,121.375,0.006459236145019531
172,100,7,efficient_non_dominated_sort,121.375,0.0006363391876220703
173,100,7,fast_non_dominated_sort,121.375,0.000885009765625
174,100,7,nmoo,121.375,0.0045473575592041016
175,100,7,efficient_non_dominated_sort,121.375,0.0006971359252929688
176,100,7,fast_non_dominated_sort,121.375,0.0009009838104248047
177,100,7,nmoo,121.375,0.005161285400390625
178,100,7,efficient_non_dominated_sort,121.375,0.0006225109100341797
179,100,7,fast_non_dominated_sort,121.375,0.0007703304290771484
180,500,2,nmoo,121.375,0.0005741119384765625
181,500,2,efficient_non_dominated_sort,121.3828125,0.0017242431640625
182,500,2,fast_non_dominated_sort,122.6796875,0.0049092769622802734
183,500,2,nmoo,122.6796875,0.0005652904510498047
184,500,2,efficient_non_dominated_sort,122.6796875,0.0016274452209472656
185,500,2,fast_non_dominated_sort,122.6796875,0.0047512054443359375
186,500,2,nmoo,122.6796875,0.0006449222564697266
187,500,2,efficient_non_dominated_sort,122.6796875,0.0016942024230957031
188,500,2,fast_non_dominated_sort,122.6796875,0.004605770111083984
189,500,2,nmoo,122.6796875,0.0005681514739990234
190,500,2,efficient_non_dominated_sort,122.6796875,0.0015175342559814453
191,500,2,fast_non_dominated_sort,122.6796875,0.004757881164550781
192,500,2,nmoo,122.6796875,0.0006062984466552734
193,500,2,efficient_non_dominated_sort,122.6796875,0.0017094612121582031
194,500,2,fast_non_dominated_sort,122.6796875,0.004538059234619141
195,500,2,nmoo,122.6796875,0.0005660057067871094
196,500,2,efficient_non_dominated_sort,122.6796875,0.0016336441040039062
197,500,2,fast_non_dominated_sort,122.6796875,0.0049479007720947266
198,500,2,nmoo,122.6796875,0.0007119178771972656
199,500,2,efficient_non_dominated_sort,122.6796875,0.0014848709106445312
200,500,2,fast_non_dominated_sort,122.6796875,0.004660129547119141
201,500,2,nmoo,122.6796875,0.0007498264312744141
202,500,2,efficient_non_dominated_sort,122.6796875,0.0018172264099121094
203,500,2,fast_non_dominated_sort,122.6796875,0.004363298416137695
204,500,2,nmoo,122.6796875,0.0005605220794677734
205,500,2,efficient_non_dominated_sort,122.6796875,0.0017015933990478516
206,500,2,fast_non_dominated_sort,122.6796875,0.004654884338378906
207,500,2,nmoo,122.6796875,0.00058746337890625
208,500,2,efficient_non_dominated_sort,122.6796875,0.0015192031860351562
209,500,2,fast_non_dominated_sort,122.6796875,0.004424333572387695
210,500,3,nmoo,122.6796875,0.004219532012939453
211,500,3,efficient_non_dominated_sort,122.6796875,0.0013175010681152344
212,500,3,fast_non_dominated_sort,122.6796875,0.004551887512207031
213,500,3,nmoo,122.6796875,0.006924629211425781
214,500,3,efficient_non_dominated_sort,122.6796875,0.0014276504516601562
215,500,3,fast_non_dominated_sort,122.6796875,0.0043599605560302734
216,500,3,nmoo,122.6796875,0.007666587829589844
217,500,3,efficient_non_dominated_sort,122.6796875,0.0011551380157470703
218,500,3,fast_non_dominated_sort,122.6796875,0.004728078842163086
219,500,3,nmoo,122.6796875,0.005869626998901367
220,500,3,efficient_non_dominated_sort,122.6796875,0.0012774467468261719
221,500,3,fast_non_dominated_sort,122.6796875,0.004590034484863281
222,500,3,nmoo,122.6796875,0.004395484924316406
223,500,3,efficient_non_dominated_sort,122.6796875,0.0012850761413574219
224,500,3,fast_non_dominated_sort,122.6796875,0.004663705825805664
225,500,3,nmoo,122.6796875,0.0042498111724853516
226,500,3,efficient_non_dominated_sort,122.6796875,0.0013294219970703125
227,500,3,fast_non_dominated_sort,122.6796875,0.004749298095703125
228,500,3,nmoo,122.6796875,0.003208637237548828
229,500,3,efficient_non_dominated_sort,122.6796875,0.0012242794036865234
230,500,3,fast_non_dominated_sort,122.6796875,0.004779815673828125
231,500,3,nmoo,122.6796875,0.005388021469116211
232,500,3,efficient_non_dominated_sort,122.68359375,0.001409769058227539
233,500,3,fast_non_dominated_sort,122.6875,0.004828691482543945
234,500,3,nmoo,122.6875,0.0041217803955078125
235,500,3,efficient_non_dominated_sort,122.6875,0.0011208057403564453
236,500,3,fast_non_dominated_sort,122.6875,0.004723548889160156
237,500,3,nmoo,122.6875,0.006412029266357422
238,500,3,efficient_non_dominated_sort,122.6875,0.0013058185577392578
239,500,3,fast_non_dominated_sort,122.6875,0.004368782043457031
240,500,4,nmoo,122.6875,0.011005640029907227
241,500,4,efficient_non_dominated_sort,122.6953125,0.0011768341064453125
242,500,4,fast_non_dominated_sort,122.6953125,0.0046460628509521484
243,500,4,nmoo,122.6953125,0.01982855796813965
244,500,4,efficient_non_dominated_sort,122.703125,0.0012826919555664062
245,500,4,fast_non_dominated_sort,122.703125,0.004366159439086914
246,500,4,nmoo,122.703125,0.014097452163696289
247,500,4,efficient_non_dominated_sort,122.703125,0.0011780261993408203
248,500,4,fast_non_dominated_sort,122.703125,0.004633903503417969
249,500,4,nmoo,122.703125,0.008890151977539062
250,500,4,efficient_non_dominated_sort,122.703125,0.0014064311981201172
251,500,4,fast_non_dominated_sort,122.703125,0.004425525665283203
252,500,4,nmoo,122.703125,0.015046834945678711
253,500,4,efficient_non_dominated_sort,122.703125,0.001203775405883789
254,500,4,fast_non_dominated_sort,122.703125,0.004647493362426758
255,500,4,nmoo,122.703125,0.009081125259399414
256,500,4,efficient_non_dominated_sort,122.703125,0.0011749267578125
257,500,4,fast_non_dominated_sort,122.703125,0.004395723342895508
258,500,4,nmoo,122.703125,0.013531684875488281
259,500,4,efficient_non_dominated_sort,122.703125,0.0012044906616210938
260,500,4,fast_non_dominated_sort,122.703125,0.004427194595336914
261,500,4,nmoo,122.703125,0.011850357055664062
262,500,4,efficient_non_dominated_sort,122.703125,0.0012021064758300781
263,500,4,fast_non_dominated_sort,122.703125,0.004393339157104492
264,500,4,nmoo,122.703125,0.013180732727050781
265,500,4,efficient_non_dominated_sort,122.70703125,0.0011696815490722656
266,500,4,fast_non_dominated_sort,122.70703125,0.004830121994018555
267,500,4,nmoo,122.70703125,0.009788751602172852
268,500,4,efficient_non_dominated_sort,122.70703125,0.0013976097106933594
269,500,4,fast_non_dominated_sort,122.70703125,0.004244327545166016
270,500,5,nmoo,122.70703125,0.02305316925048828
271,500,5,efficient_non_dominated_sort,122.70703125,0.0014824867248535156
272,500,5,fast_non_dominated_sort,122.70703125,0.004354953765869141
273,500,5,nmoo,122.70703125,0.03457188606262207
274,500,5,efficient_non_dominated_sort,122.70703125,0.0013282299041748047
275,500,5,fast_non_dominated_sort,122.70703125,0.004359722137451172
276,500,5,nmoo,122.70703125,0.022717952728271484
277,500,5,efficient_non_dominated_sort,122.70703125,0.001361846923828125
278,500,5,fast_non_dominated_sort,122.70703125,0.004325389862060547
279,500,5,nmoo,122.70703125,0.029161930084228516
280,500,5,efficient_non_dominated_sort,122.70703125,0.0013394355773925781
281,500,5,fast_non_dominated_sort,122.70703125,0.0046689510345458984
282,500,5,nmoo,122.70703125,0.029720544815063477
283,500,5,efficient_non_dominated_sort,122.70703125,0.0013551712036132812
284,500,5,fast_non_dominated_sort,122.70703125,0.004480600357055664
285,500,5,nmoo,122.70703125,0.024663448333740234
286,500,5,efficient_non_dominated_sort,122.70703125,0.0014145374298095703
287,500,5,fast_non_dominated_sort,122.70703125,0.00443720817565918
288,500,5,nmoo,122.70703125,0.026752233505249023
289,500,5,efficient_non_dominated_sort,122.70703125,0.0013201236724853516
290,500,5,fast_non_dominated_sort,122.70703125,0.00439763069152832
291,500,5,nmoo,122.70703125,0.017190933227539062
292,500,5,efficient_non_dominated_sort,122.70703125,0.0013484954833984375
293,500,5,fast_non_dominated_sort,122.70703125,0.004534006118774414
294,500,5,nmoo,122.70703125,0.02739429473876953
295,500,5,efficient_non_dominated_sort,122.7109375,0.001642465591430664
296,500,5,fast_non_dominated_sort,122.7109375,0.004567861557006836
297,500,5,nmoo,122.7109375,0.02602672576904297
298,500,5,efficient_non_dominated_sort,122.7109375,0.0013265609741210938
299,500,5,fast_non_dominated_sort,122.7109375,0.004107236862182617
300,500,6,nmoo,122.7109375,0.06072735786437988
301,500,6,efficient_non_dominated_sort,122.7109375,0.0016834735870361328
302,500,6,fast_non_dominated_sort,122.7109375,0.004118919372558594
303,500,6,nmoo,122.7109375,0.04790210723876953
304,500,6,efficient_non_dominated_sort,122.7109375,0.0015294551849365234
305,500,6,fast_non_dominated_sort,122.7109375,0.003839254379272461
306,500,6,nmoo,122.7109375,0.04439210891723633
